aqi,pm2.5,pm10,no2,so2,co,o3,objectid,measurement,accession_number,latitude,longitude,x,y,pollutant_concentration_mg_kg,soil_ph,temperature_c,humidity_%,rainfall_mm,soil_organic_matter_%,pollution_index,risk_score,risk_score_norm
187.0,102.85,201.96,155.21,213.18,1.96,177.65,,,,,,,,,,,,,,163.9366666666667,163.9366666666667,0.34541577825159925
235.0,129.25,253.8,195.05,267.9,2.47,223.25,,,,,,,,,,,,,,206.01666666666665,206.01666666666665,0.4477611940298507
256.0,140.8,276.48,212.48,291.84,2.69,243.2,,,,,,,,,,,,,,224.42666666666665,224.42666666666665,0.4925373134328358
257.0,141.35,277.56,213.31,292.98,2.7,244.15,,,,,,,,,,,,,,225.30333333333337,225.30333333333337,0.4946695095948829
294.0,161.7,317.52,244.02,335.16,3.09,279.3,,,,,,,,,,,,,,257.74,257.74,0.5735607675906184
296.0,162.8,319.68,245.68,337.44,3.11,281.2,,,,,,,,,,,,,,259.49333333333334,259.49333333333334,0.5778251599147122
308.0,169.4,332.64,255.64,351.12,3.23,292.6,,,,,,,,,,,,,,270.0133333333333,270.0133333333333,0.603411513859275
300.0,165.0,324.0,249.0,342.0,3.15,285.0,,,,,,,,,,,,,,263.0,263.0,0.5863539445628998
302.0,166.1,326.16,250.66,344.28,3.17,286.9,,,,,,,,,,,,,,264.75333333333333,264.75333333333333,0.5906183368869936
320.0,176.0,345.6,265.6,364.8,3.36,304.0,,,,,,,,,,,,,,280.53333333333336,280.53333333333336,0.628997867803838
266.0,146.3,287.28,220.78,303.24,2.79,252.7,,,,,,,,,,,,,,233.1933333333333,233.1933333333333,0.5138592750533049
156.0,85.8,168.48,129.48,177.84,1.64,148.2,,,,,,,,,,,,,,136.76,136.76,0.279317697228145
160.0,88.0,172.8,132.8,182.4,1.68,152.0,,,,,,,,,,,,,,140.26666666666668,140.26666666666668,0.28784648187633266
272.0,149.6,293.76,225.76,310.08,2.86,258.4,,,,,,,,,,,,,,238.45333333333335,238.45333333333335,0.5266524520255864
257.0,141.35,277.56,213.31,292.98,2.7,244.15,,,,,,,,,,,,,,225.30333333333337,225.30333333333337,0.4946695095948829
260.0,143.0,280.8,215.8,296.4,2.73,247.0,,,,,,,,,,,,,,227.9333333333333,227.9333333333333,0.5010660980810234
203.0,111.65,219.24,168.49,231.42,2.13,192.85,,,,,,,,,,,,,,177.96333333333334,177.96333333333334,0.3795309168443497
178.0,97.9,192.24,147.74,202.92,1.87,169.1,,,,,,,,,,,,,,156.04666666666665,156.04666666666665,0.3262260127931769
172.0,94.6,185.76,142.76,196.08,1.81,163.4,,,,,,,,,,,,,,150.78666666666666,150.78666666666666,0.31343283582089554
167.0,91.85,180.36,138.61,190.38,1.75,158.65,,,,,,,,,,,,,,146.40333333333334,146.40333333333334,0.302771855010661
185.0,101.75,199.8,153.55,210.9,1.94,175.75,,,,,,,,,,,,,,162.18333333333334,162.18333333333334,0.3411513859275053
245.0,134.75,264.6,203.35,279.3,2.57,232.75,,,,,,,,,,,,,,214.78333333333333,214.78333333333333,0.4690831556503199
280.0,154.0,302.4,232.4,319.2,2.94,266.0,,,,,,,,,,,,,,245.46666666666667,245.46666666666667,0.5437100213219617
170.0,93.5,183.6,141.1,193.8,1.79,161.5,,,,,,,,,,,,,,149.03333333333333,149.03333333333333,0.3091684434968017
170.0,93.5,183.6,141.1,193.8,1.79,161.5,,,,,,,,,,,,,,149.03333333333333,149.03333333333333,0.3091684434968017
214.0,117.7,231.12,177.62,243.96,2.25,203.3,,,,,,,,,,,,,,187.60666666666665,187.60666666666665,0.40298507462686567
217.0,119.35,234.36,180.11,247.38,2.28,206.15,,,,,,,,,,,,,,190.23666666666668,190.23666666666668,0.40938166311300644
267.0,146.85,288.36,221.61,304.38,2.8,253.65,,,,,,,,,,,,,,234.07000000000002,234.07000000000002,0.5159914712153518
297.0,163.35,320.76,246.51,338.58,3.12,282.15,,,,,,,,,,,,,,260.37,260.37,0.5799573560767591
256.0,140.8,276.48,212.48,291.84,2.69,243.2,,,,,,,,,,,,,,224.42666666666665,224.42666666666665,0.4925373134328358
186.0,102.3,200.88,154.38,212.04,1.95,176.7,,,,,,,,,,,,,,163.06,163.06,0.34328358208955223
169.0,92.95,182.52,140.27,192.66,1.77,160.55,,,,,,,,,,,,,,148.15666666666667,148.15666666666667,0.3070362473347548
173.0,95.15,186.84,143.59,197.22,1.82,164.35,,,,,,,,,,,,,,151.66333333333333,151.66333333333333,0.31556503198294245
217.0,119.35,234.36,180.11,247.38,2.28,206.15,,,,,,,,,,,,,,190.23666666666668,190.23666666666668,0.40938166311300644
289.0,158.95,312.12,239.87,329.46,3.03,274.55,,,,,,,,,,,,,,253.35666666666665,253.35666666666665,0.5628997867803838
186.0,102.3,200.88,154.38,212.04,1.95,176.7,,,,,,,,,,,,,,163.06,163.06,0.34328358208955223
151.0,83.05,163.08,125.33,172.14,1.59,143.45,,,,,,,,,,,,,,132.37666666666667,132.37666666666667,0.26865671641791045
175.0,96.25,189.0,145.25,199.5,1.84,166.25,,,,,,,,,,,,,,153.41666666666666,153.41666666666666,0.3198294243070362
195.0,107.25,210.6,161.85,222.3,2.05,185.25,,,,,,,,,,,,,,170.95000000000002,170.95000000000002,0.36247334754797444
183.0,100.65,197.64,151.89,208.62,1.92,173.85,,,,,,,,,,,,,,160.42999999999998,160.42999999999998,0.33688699360341146
230.0,126.5,248.4,190.9,262.2,2.42,218.5,,,,,,,,,,,,,,201.63333333333333,201.63333333333333,0.4371002132196162
255.0,140.25,275.4,211.65,290.7,2.68,242.25,,,,,,,,,,,,,,223.54999999999998,223.54999999999998,0.49040511727078884
213.0,117.15,230.04,176.79,242.82,2.24,202.35,,,,,,,,,,,,,,186.73,186.73,0.40085287846481876
218.0,119.9,235.44,180.94,248.52,2.29,207.1,,,,,,,,,,,,,,191.11333333333332,191.11333333333332,0.4115138592750533
256.0,140.8,276.48,212.48,291.84,2.69,243.2,,,,,,,,,,,,,,224.42666666666665,224.42666666666665,0.4925373134328358
195.0,107.25,210.6,161.85,222.3,2.05,185.25,,,,,,,,,,,,,,170.95000000000002,170.95000000000002,0.36247334754797444
219.0,120.45,236.52,181.77,249.66,2.3,208.05,,,,,,,,,,,,,,191.99,191.99,0.41364605543710026
207.0,113.85,223.56,171.81,235.98,2.17,196.65,,,,,,,,,,,,,,181.47000000000003,181.47000000000003,0.3880597014925374
203.0,111.65,219.24,168.49,231.42,2.13,192.85,,,,,,,,,,,,,,177.96333333333334,177.96333333333334,0.3795309168443497
290.0,159.5,313.2,240.7,330.6,3.05,275.5,,,,,,,,,,,,,,254.23333333333335,254.23333333333335,0.5650319829424307
208.0,114.4,224.64,172.64,237.12,2.18,197.6,,,,,,,,,,,,,,182.34666666666666,182.34666666666666,0.39019189765458423
143.0,78.65,154.44,118.69,163.02,1.5,135.85,,,,,,,,,,,,,,125.36333333333334,125.36333333333334,0.2515991471215352
141.0,77.55,152.28,117.03,160.74,1.48,133.95,,,,,,,,,,,,,,123.61000000000001,123.61000000000001,0.24733475479744138
120.0,66.0,129.6,99.6,136.8,1.26,114.0,,,,,,,,,,,,,,105.2,105.2,0.2025586353944563
230.0,126.5,248.4,190.9,262.2,2.42,218.5,,,,,,,,,,,,,,201.63333333333333,201.63333333333333,0.4371002132196162
141.0,77.55,152.28,117.03,160.74,1.48,133.95,,,,,,,,,,,,,,123.61000000000001,123.61000000000001,0.24733475479744138
99.0,54.45,106.92,82.17,112.86,1.04,94.05,,,,,,,,,,,,,,86.79,86.79,0.15778251599147122
188.0,103.4,203.04,156.04,214.32,1.97,178.6,,,,,,,,,,,,,,164.8133333333333,164.8133333333333,0.347547974413646
217.0,119.35,234.36,180.11,247.38,2.28,206.15,,,,,,,,,,,,,,190.23666666666668,190.23666666666668,0.40938166311300644
224.0,123.2,241.92,185.92,255.36,2.35,212.8,,,,,,,,,,,,,,196.37333333333333,196.37333333333333,0.4243070362473348
285.0,156.75,307.8,236.55,324.9,2.99,270.75,,,,,,,,,,,,,,249.85,249.85,0.5543710021321961
244.0,134.2,263.52,202.52,278.16,2.56,231.8,,,,,,,,,,,,,,213.90666666666667,213.90666666666667,0.4669509594882729
228.0,125.4,246.24,189.24,259.92,2.39,216.6,,,,,,,,,,,,,,199.88,199.88,0.43283582089552236
244.0,134.2,263.52,202.52,278.16,2.56,231.8,,,,,,,,,,,,,,213.90666666666667,213.90666666666667,0.4669509594882729
246.0,135.3,265.68,204.18,280.44,2.58,233.7,,,,,,,,,,,,,,215.66,215.66,0.47121535181236673
356.0,195.8,384.48,295.48,405.84,3.74,338.2,,,,,,,,,,,,,,312.0933333333333,312.0933333333333,0.7057569296375266
211.0,116.05,227.88,175.13,240.54,2.22,200.45,,,,,,,,,,,,,,184.9766666666667,184.9766666666667,0.396588486140725
160.0,88.0,172.8,132.8,182.4,1.68,152.0,,,,,,,,,,,,,,140.26666666666668,140.26666666666668,0.28784648187633266
254.0,139.7,274.32,210.82,289.56,2.67,241.3,,,,,,,,,,,,,,222.67333333333332,222.67333333333332,0.488272921108742
266.0,146.3,287.28,220.78,303.24,2.79,252.7,,,,,,,,,,,,,,233.1933333333333,233.1933333333333,0.5138592750533049
313.0,172.15,338.04,259.79,356.82,3.29,297.35,,,,,,,,,,,,,,274.3966666666667,274.3966666666667,0.6140724946695097
310.0,170.5,334.8,257.3,353.4,3.26,294.5,,,,,,,,,,,,,,271.76666666666665,271.76666666666665,0.6076759061833689
301.0,165.55,325.08,249.83,343.14,3.16,285.95,,,,,,,,,,,,,,263.87666666666667,263.87666666666667,0.5884861407249468
248.0,136.4,267.84,205.84,282.72,2.6,235.6,,,,,,,,,,,,,,217.41333333333333,217.41333333333333,0.47547974413646055
209.0,114.95,225.72,173.47,238.26,2.19,198.55,,,,,,,,,,,,,,183.22333333333333,183.22333333333333,0.39232409381663114
177.0,97.35,191.16,146.91,201.78,1.86,168.15,,,,,,,,,,,,,,155.17,155.17,0.32409381663113
153.0,84.15,165.24,126.99,174.42,1.61,145.35,,,,,,,,,,,,,,134.13,134.13,0.27292110874200426
160.0,88.0,172.8,132.8,182.4,1.68,152.0,,,,,,,,,,,,,,140.26666666666668,140.26666666666668,0.28784648187633266
139.0,76.45,150.12,115.37,158.46,1.46,132.05,,,,,,,,,,,,,,121.85666666666667,121.85666666666667,0.24307036247334757
173.0,95.15,186.84,143.59,197.22,1.82,164.35,,,,,,,,,,,,,,151.66333333333333,151.66333333333333,0.31556503198294245
269.0,147.95,290.52,223.27,306.66,2.82,255.55,,,,,,,,,,,,,,235.82333333333335,235.82333333333335,0.5202558635394456
211.0,116.05,227.88,175.13,240.54,2.22,200.45,,,,,,,,,,,,,,184.9766666666667,184.9766666666667,0.396588486140725
208.0,114.4,224.64,172.64,237.12,2.18,197.6,,,,,,,,,,,,,,182.34666666666666,182.34666666666666,0.39019189765458423
163.0,89.65,176.04,135.29,185.82,1.71,154.85,,,,,,,,,,,,,,142.89666666666668,142.89666666666668,0.2942430703624734
190.0,104.5,205.2,157.7,216.6,2.0,180.5,,,,,,,,,,,,,,166.56666666666666,166.56666666666666,0.35181236673773986
256.0,140.8,276.48,212.48,291.84,2.69,243.2,,,,,,,,,,,,,,224.42666666666665,224.42666666666665,0.4925373134328358
304.0,167.2,328.32,252.32,346.56,3.19,288.8,,,,,,,,,,,,,,266.50666666666666,266.50666666666666,0.5948827292110874
215.0,118.25,232.2,178.45,245.1,2.26,204.25,,,,,,,,,,,,,,188.48333333333335,188.48333333333335,0.40511727078891263
130.0,71.5,140.4,107.9,148.2,1.37,123.5,,,,,,,,,,,,,,113.96666666666665,113.96666666666665,0.22388059701492535
164.0,90.2,177.12,136.12,186.96,1.72,155.8,,,,,,,,,,,,,,143.77333333333334,143.77333333333334,0.2963752665245203
190.0,104.5,205.2,157.7,216.6,2.0,180.5,,,,,,,,,,,,,,166.56666666666666,166.56666666666666,0.35181236673773986
243.0,133.65,262.44,201.69,277.02,2.55,230.85,,,,,,,,,,,,,,213.02999999999997,213.02999999999997,0.46481876332622596
225.0,123.75,243.0,186.75,256.5,2.36,213.75,,,,,,,,,,,,,,197.25,197.25,0.4264392324093817
242.0,133.1,261.36,200.86,275.88,2.54,229.9,,,,,,,,,,,,,,212.15333333333334,212.15333333333334,0.4626865671641791
199.0,109.45,214.92,165.17,226.86,2.09,189.05,,,,,,,,,,,,,,174.45666666666668,174.45666666666668,0.37100213219616207
183.0,100.65,197.64,151.89,208.62,1.92,173.85,,,,,,,,,,,,,,160.42999999999998,160.42999999999998,0.33688699360341146
212.0,116.6,228.96,175.96,241.68,2.23,201.4,,,,,,,,,,,,,,185.85333333333335,185.85333333333335,0.3987206823027719
301.0,165.55,325.08,249.83,343.14,3.16,285.95,,,,,,,,,,,,,,263.87666666666667,263.87666666666667,0.5884861407249468
252.0,138.6,272.16,209.16,287.28,2.65,239.4,,,,,,,,,,,,,,220.92,220.92,0.4840085287846482
251.0,138.05,271.08,208.33,286.14,2.64,238.45,,,,,,,,,,,,,,220.04333333333332,220.04333333333332,0.4818763326226012
235.0,129.25,253.8,195.05,267.9,2.47,223.25,,,,,,,,,,,,,,206.01666666666665,206.01666666666665,0.4477611940298507
277.0,152.35,299.16,229.91,315.78,2.91,263.15,,,,,,,,,,,,,,242.83666666666667,242.83666666666667,0.5373134328358209
275.0,151.25,297.0,228.25,313.5,2.89,261.25,,,,,,,,,,,,,,241.08333333333334,241.08333333333334,0.5330490405117271
285.0,156.75,307.8,236.55,324.9,2.99,270.75,,,,,,,,,,,,,,249.85,249.85,0.5543710021321961
281.0,154.55,303.48,233.23,320.34,2.95,266.95,,,,,,,,,,,,,,246.34333333333333,246.34333333333333,0.5458422174840085
208.0,114.4,224.64,172.64,237.12,2.18,197.6,,,,,,,,,,,,,,182.34666666666666,182.34666666666666,0.39019189765458423
198.0,108.9,213.84,164.34,225.72,2.08,188.1,,,,,,,,,,,,,,173.58,173.58,0.36886993603411516
173.0,95.15,186.84,143.59,197.22,1.82,164.35,,,,,,,,,,,,,,151.66333333333333,151.66333333333333,0.31556503198294245
174.0,95.7,187.92,144.42,198.36,1.83,165.3,,,,,,,,,,,,,,152.54,152.54,0.3176972281449893
183.0,100.65,197.64,151.89,208.62,1.92,173.85,,,,,,,,,,,,,,160.42999999999998,160.42999999999998,0.33688699360341146
169.0,92.95,182.52,140.27,192.66,1.77,160.55,,,,,,,,,,,,,,148.15666666666667,148.15666666666667,0.3070362473347548
136.0,74.8,146.88,112.88,155.04,1.43,129.2,,,,,,,,,,,,,,119.22666666666667,119.22666666666667,0.23667377398720685
164.0,90.2,177.12,136.12,186.96,1.72,155.8,,,,,,,,,,,,,,143.77333333333334,143.77333333333334,0.2963752665245203
179.0,98.45,193.32,148.57,204.06,1.88,170.05,,,,,,,,,,,,,,156.92333333333332,156.92333333333332,0.32835820895522383
127.0,69.85,137.16,105.41,144.78,1.33,120.65,,,,,,,,,,,,,,111.33666666666666,111.33666666666666,0.21748400852878463
158.0,86.9,170.64,131.14,180.12,1.66,150.1,,,,,,,,,,,,,,138.51333333333332,138.51333333333332,0.2835820895522388
183.0,100.65,197.64,151.89,208.62,1.92,173.85,,,,,,,,,,,,,,160.42999999999998,160.42999999999998,0.33688699360341146
296.0,162.8,319.68,245.68,337.44,3.11,281.2,,,,,,,,,,,,,,259.49333333333334,259.49333333333334,0.5778251599147122
445.0,244.75,480.6,369.35,507.3,4.67,422.75,,,,,,,,,,,,,,390.1166666666666,390.1166666666666,0.8955223880597014
431.0,237.05,465.48,357.73,491.34,4.53,409.45,,,,,,,,,,,,,,377.8433333333333,377.8433333333333,0.8656716417910447
447.0,245.85,482.76,371.01,509.58,4.69,424.65,,,,,,,,,,,,,,391.87000000000006,391.87000000000006,0.8997867803837954
369.0,202.95,398.52,306.27,420.66,3.87,350.55,,,,,,,,,,,,,,323.49,323.49,0.7334754797441365
289.0,158.95,312.12,239.87,329.46,3.03,274.55,,,,,,,,,,,,,,253.35666666666665,253.35666666666665,0.5628997867803838
171.0,94.05,184.68,141.93,194.94,1.8,162.45,,,,,,,,,,,,,,149.91,149.91,0.31130063965884863
121.0,66.55,130.68,100.43,137.94,1.27,114.95,,,,,,,,,,,,,,106.07666666666667,106.07666666666667,0.2046908315565032
177.0,97.35,191.16,146.91,201.78,1.86,168.15,,,,,,,,,,,,,,155.17,155.17,0.32409381663113
226.0,124.3,244.08,187.58,257.64,2.37,214.7,,,,,,,,,,,,,,198.12666666666667,198.12666666666667,0.4285714285714286
236.0,129.8,254.88,195.88,269.04,2.48,224.2,,,,,,,,,,,,,,206.89333333333335,206.89333333333335,0.44989339019189767
218.0,119.9,235.44,180.94,248.52,2.29,207.1,,,,,,,,,,,,,,191.11333333333332,191.11333333333332,0.4115138592750533
183.0,100.65,197.64,151.89,208.62,1.92,173.85,,,,,,,,,,,,,,160.42999999999998,160.42999999999998,0.33688699360341146
192.0,105.6,207.36,159.36,218.88,2.02,182.4,,,,,,,,,,,,,,168.32000000000002,168.32000000000002,0.3560767590618337
110.0,60.5,118.8,91.3,125.4,1.16,104.5,,,,,,,,,,,,,,96.43333333333334,96.43333333333334,0.18123667377398722
93.0,51.15,100.44,77.19,106.02,0.98,88.35,,,,,,,,,,,,,,81.53,81.53,0.14498933901918976
76.0,41.8,82.08,63.08,86.64,0.8,72.2,,,,,,,,,,,,,,66.62666666666667,66.62666666666667,0.10874200426439232
72.0,39.6,77.76,59.76,82.08,0.76,68.4,,,,,,,,,,,,,,63.120000000000005,63.120000000000005,0.10021321961620469
96.0,52.8,103.68,79.68,109.44,1.01,91.2,,,,,,,,,,,,,,84.16000000000001,84.16000000000001,0.1513859275053305
92.0,50.6,99.36,76.36,104.88,0.97,87.4,,,,,,,,,,,,,,80.65333333333332,80.65333333333332,0.14285714285714282
106.0,58.3,114.48,87.98,120.84,1.11,100.7,,,,,,,,,,,,,,92.92666666666668,92.92666666666668,0.1727078891257996
114.0,62.7,123.12,94.62,129.96,1.2,108.3,,,,,,,,,,,,,,99.94,99.94,0.18976545842217482
137.0,75.35,147.96,113.71,156.18,1.44,130.15,,,,,,,,,,,,,,120.10333333333334,120.10333333333334,0.23880597014925375
123.0,67.65,132.84,102.09,140.22,1.29,116.85,,,,,,,,,,,,,,107.83,107.83,0.208955223880597
147.0,80.85,158.76,122.01,167.58,1.54,139.65,,,,,,,,,,,,,,128.87,128.87,0.2601279317697228
151.0,83.05,163.08,125.33,172.14,1.59,143.45,,,,,,,,,,,,,,132.37666666666667,132.37666666666667,0.26865671641791045
182.0,100.1,196.56,151.06,207.48,1.91,172.9,,,,,,,,,,,,,,159.55333333333334,159.55333333333334,0.3347547974413646
157.0,86.35,169.56,130.31,178.98,1.65,149.15,,,,,,,,,,,,,,137.63666666666666,137.63666666666666,0.2814498933901919
134.0,73.7,144.72,111.22,152.76,1.41,127.3,,,,,,,,,,,,,,117.47333333333331,117.47333333333331,0.23240938166311298
106.0,58.3,114.48,87.98,120.84,1.11,100.7,,,,,,,,,,,,,,92.92666666666668,92.92666666666668,0.1727078891257996
143.0,78.65,154.44,118.69,163.02,1.5,135.85,,,,,,,,,,,,,,125.36333333333334,125.36333333333334,0.2515991471215352
99.0,54.45,106.92,82.17,112.86,1.04,94.05,,,,,,,,,,,,,,86.79,86.79,0.15778251599147122
76.0,41.8,82.08,63.08,86.64,0.8,72.2,,,,,,,,,,,,,,66.62666666666667,66.62666666666667,0.10874200426439232
76.0,41.8,82.08,63.08,86.64,0.8,72.2,,,,,,,,,,,,,,66.62666666666667,66.62666666666667,0.10874200426439232
87.0,47.85,93.96,72.21,99.18,0.91,82.65,,,,,,,,,,,,,,76.27,76.27,0.1321961620469083
91.0,50.05,98.28,75.53,103.74,0.96,86.45,,,,,,,,,,,,,,79.77666666666667,79.77666666666667,0.14072494669509594
106.0,58.3,114.48,87.98,120.84,1.11,100.7,,,,,,,,,,,,,,92.92666666666668,92.92666666666668,0.1727078891257996
88.0,48.4,95.04,73.04,100.32,0.92,83.6,,,,,,,,,,,,,,77.14666666666666,77.14666666666666,0.1343283582089552
80.0,44.0,86.4,66.4,91.2,0.84,76.0,,,,,,,,,,,,,,70.13333333333334,70.13333333333334,0.11727078891257997
111.0,61.05,119.88,92.13,126.54,1.17,105.45,,,,,,,,,,,,,,97.31,97.31,0.18336886993603413
61.0,33.55,65.88,50.63,69.54,0.64,57.95,,,,,,,,,,,,,,53.47666666666667,53.47666666666667,0.07675906183368869
67.0,36.85,72.36,55.61,76.38,0.7,63.65,,,,,,,,,,,,,,58.73666666666666,58.73666666666666,0.08955223880597013
90.0,49.5,97.2,74.7,102.6,0.95,85.5,,,,,,,,,,,,,,78.89999999999999,78.89999999999999,0.138592750533049
78.0,42.9,84.24,64.74,88.92,0.82,74.1,,,,,,,,,,,,,,68.38,68.38,0.11300639658848613
74.0,40.7,79.92,61.42,84.36,0.78,70.3,,,,,,,,,,,,,,64.87333333333333,64.87333333333333,0.1044776119402985
54.0,29.7,58.32,44.82,61.56,0.57,51.3,,,,,,,,,,,,,,47.34,47.34,0.06183368869936035
57.0,31.35,61.56,47.31,64.98,0.6,54.15,,,,,,,,,,,,,,49.97,49.97,0.06823027718550106
90.0,49.5,97.2,74.7,102.6,0.95,85.5,,,,,,,,,,,,,,78.89999999999999,78.89999999999999,0.138592750533049
115.0,63.25,124.2,95.45,131.1,1.21,109.25,,,,,,,,,,,,,,100.81666666666666,100.81666666666666,0.19189765458422173
132.0,72.6,142.56,109.56,150.48,1.39,125.4,,,,,,,,,,,,,,115.71999999999998,115.71999999999998,0.22814498933901917
153.0,84.15,165.24,126.99,174.42,1.61,145.35,,,,,,,,,,,,,,134.13,134.13,0.27292110874200426
